Unnamed: 0,Nombre_libro,Nombre_autor,Editorial,Formato,Precio
0,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
1,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
2,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
3,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
4,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
5,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
6,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
7,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
8,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
9,El libro de Bill ,Alex Hirsch,Planeta,tapa dura,348
10,Yo nunca vi televisión ,31 minutos,Planeta Infantil México,tapa blanda,148
11,Hábitos atómicos TD ,James Clear,Paidós,tapa dura,459
12,El invencible verano de Liliana ,Cristina Rivera Garza,Literatura Random House,Multiformato,369
13,¡Gracias! ,Andrés Manuel López Obrador,Planeta México,tapa blanda,298
14,La autobiografía no autorizada de Tulio Triviño ,31 minutos,Planeta Infantil México,tapa blanda,148
15,Fisco Agenda 2024 ,Ediciones Fiscales ISEF,Ediciones fiscales ISEF,tapa blanda,356
16,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados. ,Mark Wolynn,Gaia ediciones,tapa blanda,395
17,Hábitos atómicos ,James Clear,Paidós,tapa blanda,399
18,Matemáticas 2. Revuela primaria ,SM de Ediciones,SM,tapa blanda,799
19,La biblioteca de la medianoche ,Matt Haig,AdN,tapa blanda,361
20,Ya te cargó el retiro ,Eduardo Rosas,Grijalbo,tapa blanda,329
21,MEDITACIONES ,Marco Aurelio,Gandhi editores,tapa dura,249
22,"Dinastías: Dos familias, una nación ",Ramón Alberto Garza,Planeta México,tapa blanda,348
23,Romper el círculo (It Ends with Us) (Tie-In) ,Colleen Hoover,Planeta México,tapa blanda,348
24,La ciudad y sus muros inciertos ,Haruki Murakami,Tusquets México,Multiformato,398
25,DEJA DE SER TU ,Joe Dispenza,Urano,tapa blanda,370
26,Un lugar soleado para gente sombría ,Mariana Enriquez,Anagrama Océano,tapa blanda,293
27,Las mujeres que aman demasiado ,Robin Norwood,B de bolsillo,Multiformato,299
28,Relatos de la noche ,Uriel Reyes,Suma,Multiformato,229
